呵	;kk;kk;kk;dz;ks;kk;kh;kh
䭇	;uj;rk;uj;qd;wy;;
䭞	;ux;rg;ux;qg;wy;;
䭿	;mu;mu;mu;nh;cr;;
䮊	;my;my;my;nb;cg;;
䯆	;gv;gv;gg;fa;me;;
䰙	;gv;wy;gv;nc;gk;;
䱌	;yi;al;yi;wq;qo;;
䱒	;yy;ab;yy;wm;qo;;
䲑	;yy;aw;yy;wp;qo;;
䴊	;yn;yn;ny;gx;ug;;
䴬	;ly;ly;my;ep;sw;;
乊	;pb;pb;ho,pb,px;th;tu;;
亄	;gy;uv;gy;ga;fp;;tv
伿	;rv;rb;rv;jh;wk;;rk
俋	;rb;rb;rb,ry;jm;wk;;rk
偯	;ra;ry;ra;jd;wy;;rd
劮	;lu;ul;lu;ts;rw;;pv
匇	;bx;bx;gx;nl;qq;;pd
呭	;ku;ku;ku;da;ka;;kc
呹	;ku;ku;ku;dh;kr;;kp
唈	;kb;kb;kb,ky;dm;kk;;kk
囈	;ky;ks;ky;db;ka;;kc
圛	;kg;kg;kx;rg;ll;;sh
垼	;ty;it;ty;wg;tm;;pt
妷	;nu;nu;nu;bh;vr;;np
嫛	;kn;kn;nu,ny;nb;at;;hn
嬄	;ny;na;ny;bz;vf;;nt
嬟	;nw;nw;ny;bp;vu;;nd
宐	;ba;ba;ba;wf;ph,pq;;bh
寲	;by;br;by;wt;px;;bd
峓	;uy;ey;uy;vb;mg;;sh
崺	;uu;ey;uu;ve;my;;sv
嶬	;uy;ew;uy;vp;mu;;sd
帟	;wj;wj;jy,yj;zr;yo;;ds
幆	;jh;jv;jh;rf;mh;;sl
弬	;gi;gl;gi;bq;xa;;vh
怈	;xu;xu;xu;ha;na;;xc
恞	;xy;xy;xy;hb;ng;;xh
悘	;kx;kx;xy;nh;at;;hx
懌	;xg;xg;xx;hg;nl;;xs
撎	;fy;fa;fy;uz;rf;;ft
敡	;oy;oy;py,oy;oh;jq;;ls
敼	;uy;uy;px,uy,xy;hh;fk;;ts
旑	;fk;fk;fq;lz;yd;;dh
晹	;ow;ow;oy;oe;jj;ow;ll
暆	;oy;oy;ou;oe;jy;;ld
曎	;og;og;ox,oy;og;jl;;ls
栺	;mo;mo;mv;eo;sx;;mp
棭	;my;mn;my;ev;sy;;md
椬	;mq;mq;my;ef;sp;;mb
榏	;mm;mm;my;ea;su;;md
槸	;mw;mw;mv;ei;sf;;mt
檍	;mx;mx;my;eh;su;;md
檥	;mw;mw;my;ep;su;;md
檹	;mk;mk;mq,my;ez;sy;;md
欭	;qy;kr;qy;re;ld;;sp
歝	;qx;sr;qx;ye;lf;;sp
殔	;dl;dn;dl;gk;gq;;hv
獈	;qm;qm;qy;ma;qt;;pd
玴	;wu;wu;wu;na;ga;;wc
瑿	;ky;ky;yu,yy;ni;at;;hd
瓵	;sw;sw;wt;kr;ck;;vh
畩	;ty;ty;ty;qt;ly;;sd
痬	;bw;bw;by;ae;uj;;dp
瘱	;bx;bx;bx;ah;ud;;dx
瞖	;ko;ko;ou,oy;nq;at;;hh
礒	;uw;uw;uy;mp;du;;hd
秇	;hw;hw;hw;xi;tv;;ep
稦	;hw;hl;hw;xg;tn;;ev
穓	;hy;hb;hh,hy;xh;tl;;es
竩	;lq;lq;ly;if;up;;db
篒	;vu;vl;vu;rq;tw;;gd
籎	;vy;vr;vy;rt;tx;;gd
縊	;sy;ym;sy;ia;xu;;id
繶	;sy;yx;sy;ih;xu;;id
耴	;ev;ev;eg;qa;bn;;hv
膉	;om;om;oy;va;eu;;yd
萓	;cq;cq;cy;lf;ap;;ch
萟	;cw;cw;cv,cw;li;at;;cd
蛜	;iy;iy;iy;ct;jw;;or
螔	;ij;ij;ih;cz;jr;;op
袘	;py;py;yy;te;pu;;dp
袣	;pu;pu;yu;ta;pu;;dc
裿	;pk;pk;yq;tz;pu;;dh
褹	;pw;pw;yv;ti;pu;;dt
襼	;yy;ps;yy;tb;pu;;dc
訲	;yv;wv;yv;sg;yk;;ak
詍	;yu;wu;yu;sa;ya;;ac
謻	;yy;wx;yy;sl;yt;;ae
譩	;yy;wx;yy;sh;yu;;ad
讛	;yy;ws;yy;sb;ya;;ac
豙	;lu;wu;du,lu,wu;ij;ue;;dd
豛	;uu;uy;uu;jr;em;;hp
貖	;vm;vm;vy;ma;ee;;pd
贀	;kb;kb;bu,by;no;at;;hd
跇	;zu;zu;zu;pa;kh;;zc
辷	;za;za;za;fu;gp;;hz
迱	;zb;zb;zt;wu;px;;bz
逘	;zu;zu;zy;ku;ct;;vz
郼	;ew;ve;ew;gt;nh;;vv
鄓	;ze;ze;ei;ot;th;;pv
醷	;yx;yx;yy;yh;sg;;hd
隿	;vy;yf;vy;pu;aw;;hr
顊	;yu;pb;yu;tw;wn;;ph
骮	;gy;gy;gy;fp;me;;sh
鴺	;yn;yn;ny;mx;gx;;hp
鶂	;jn;jn;ne;px;vq;;pp
鶃	;ne;ne;ne;xp;wv;;pp
鶍	;on;on;ny;ox;jq;;lp
鷊	;ng;an;ng;nx;gk;;hp
鷖	;kn;kn;nu,ny;nx;at;;hd
鷧	;ny;un;ny;gx;fp;;tp
黳	;kh;kh;hu,hy;np;at;;hq
𠂆	;pp;pp;;xc;rt;;
𠄱	;ei;ei;ei,yi;mq;fh;;
𠅌	;wd;wd;wd;gm;yk;;
𠈶	;rj;rj;rj;jc;wm;;
𠍫	;rq;rr;rx,rq,ra;je;wq;;
𠍳	;ra;cg;ca,ra;lg;aw;;
𠏩	;rq;rr;rq,ra;je;wm;;
𠐀	;rq;rr;ry,rq,ra;je;wr;;
𠓋	;gg;xg;gg,gx,ex;mg;iq;;
𠗺	;dx;dx;dy;wl;ut;;
𠚮	;dq;dq;dq;pa;vt;;
𠛃	;ud;ud;pd;up;rj;;
𠜁	;yd;yd;yd;mp;gx;;
𠡔	;vl;vl;li;os;vd;;
𠡝	;vl;vl;lx;os;vq;;
𠤗	;bb;bb;bx;vv;xt;;
𠤘	;bu;bu;by;vo;xc;;
𠥦	;ky;kb;ky;nh;an;;
𠨾	;iu;iu;iu;xu;dr;;
𠩗	;iq;ir;ix,iq;xe;di;;
𠩫	;ie;ie;ie;xp;dv;;
𠪗	;iq;ir;ix,iq;xe;dy;;
𠮙	;kv;kv;ky;da;kn;;
𠯋	;kx;kv;kx;da;kw;;
𠰄	;ky;kl;ky;di;kc;;
𠲔	;ky;kd;ky;dc;ky;;
𠲖	;ky;ky;ky;dt;ky;;
𠲚	;kz;kz;kz,kj;dh;kb;;
𠲺	;kj;kj;kj;dc;km;;
𠲻	;dk;dk;ky,yk;kd;ir;;
𠶷	;lk;lk;kl,kv,lk;id;uk;;
𠼪	;kx;kx;ky;dl;kt;;
𠽜	;kk;kk;ki;dd;ku;;
𠿣	;ky;kr;ky;de;ks;;
𡄵	;ky;ky;ky;dy;ka;;
𡄻	;yz;uk;yz;gd;fp;;
𡉛	;tq;tv,tq;tq;gv;fr;;
𡊁	;te;te;ta;gz;fq;;
𡊶	;te;te;ty;gz;fq;;
𡍡	;tv;tv;ty;gz;ff;;
𡜬	;ny;ny;ny;bt;vw;;
𡥁	;zd;zd;zd;hp;bj;;
𡬓	;by;by;bj;wr;pn;;
𡱐	;uy;uy;uy;cb;ng;;
𡻣	;uy;ex;uy;vl;mt;;
𡼎	;ux;ek;ux;vd;mf;;
𡾾	;ug;eg;uw,ug;va;mq;;
𢀁	;ib;vd;ib;oi;vr;;
𢂒	;jy;jy;jy;rb;mh;;
𢂗	;pj;pj;jy,yj;br;qg;;
𢂼	;fj;fj;jv,vj;ur;rr;;
𢄅	;jh;jh;jm;rc;mh;;
𢇙	;gy;gy;gy;xp;ya;;
𢇚	;gy;gy;gy;xe;yb;;
𢇸	;gu;gu;gu;xa;ya;;
𢊘	;gu;gy;gy,gu;xr;ya;;
𢍰	;sc;sc;cg;yl;lf;;
𢎀	;yo;yo;go,yo;pv;ae;;
𢎃	;yo;yo;yo,go;po;aj;;
𢎉	;yv;yl;yv,gv;pr;at;;
𢏗	;gg;gg;gj;eb;gd;;
𢓀	;xy;iy;xy;wp;ta;;
𢕷	;xw;ih;xw;wc;te;;
𢖅	;xy;ii;xy;ps;tm;;
𢖫	;dx;dx;xd,dx;ph;vn;;
𢖴	;qx;qx;xq,qx;eh;tn;;
𢖺	;xy;xy;xy;hp;na;;
𢗎	;xu;xy;xu;hr;nm;;
𢘽	;xy;xy;xy;ht;nj;;
𢙇	;xy;xy;xy;ht;ny;;
𢞉	;dx;dx;xd,dx;kh;im;;
𢡃	;lx;lx;lh,xy;ih;uk;;
𢣉	;kx;kx;xh,hx,xg;dh;kg;;
𢦕	;gj;gj;gf,gj;po;at;;
𢨮	;hq;hq;hq;ml;yn;;
𢨳	;hh;hh;hh;mm;yn;;
𢩮	;fy;fy;fy;up;ra;;
𢩼	;fy;fy;fy;ui;rx;;
𢱁	;fo;fo;fm;uq;ra;;
𢷔	;fk;fk;fy;uz;ry;;
𣐓	;me;me;mr,me;em;sn;;
𣐵	;mi;ml;mi;eq;sa;;
𣐿	;my;my;my;et;sy;;
𣕁	;nm;nm;mw,wm;be;vf;;
𣘦	;km;km;my,ym,mu;ne;at;;
𣙛	;mo;mo;mo;ev;sy;;
𣚘	;dm;dm;mj;ke;id;;
𣡊	;my;ms;my;eb;sa;;
𣢭	;iq;ir;iq,qu;xe;di;;
𣢷	;gq;wr;qg,gq;se;tk;;
𣤪	;qj;xr;yq,qj;ze;nq;;
𣦌	;vt;vt;vg;sm;hw;;
𣧄	;vd;vd;di;og;vg;;
𣨟	;dw;dw;dy;ge;gq;;
𣫙	;ug;um;kg,ug;ge;fn;;
𣷩	;do;do;dq;kv;io;;
𣸘	;dt;dz;dy,dt;ku;ip;;
𣿉	;do;do;dy;ko;iy;;
𤆾	;he;he;hr,he;cm;on;;
𤈙	;hy;hy;hy;cb;og;;
𤑹	;vg;vg;zg,hx,zx;og;vo;;
𤖪	;py;py;py;ae;th;;
𤘊	;ye;ye;yb;lt;ah;;
𤝳	;qy;qy;qy;mt;qt;;
𤝻	;qx;qx;qd;ml;qt;;
𤣨	;xh;wv;xh;zf;yx;;
𤣮	;wq;wq;wq;na;gt;;
𤤺	;wy;wy;wy;nt;gj;;
𤥿	;wy;wn;wy;nv;gy;;
𤧕	;wt;wt;wy,wt;ng;gs;;
𤬩	;yw;yw;wy,yw;pr;ag;;
𤴧	;bx;bx;ba,bi;ab;uq;;
𤶛	;bb;bb;by;am;uk;;
𤸸	;bm;bm;by;aa;uu;;
𤻂	;bg;bg;bg,bx;ag;ul;;
𤼌	;by;bb;by;ah;un;;
𥃠	;ly;am;ly;wa;qo;;
𥃸	;oy;oy;oy;qe;hb;;
𥄻	;ob;ob;ot;qv;hp;;
𥅓	;oy;oy;ot;qe;ht;;
𥌟	;uo;uo;ou,uo,oy;yq;ht;;
𥍴	;my;sw;my;ie;cb;;
𥏜	;uk;uk;uq;oz;td;;
𥑴	;uy;uy;uy;mt;dy;;
𥒵	;ub;ub;uy;mm;dk;;
𥘒	;uy;py;uy;fp;py;;
𥘠	;ua;pa;ua;fl;py;;
𥙁	;uy;py;ut,uy;fe;py;;
𥙇	;ut;pb;ut;fv;py;;
𥜃	;ug;pg;ug,ux;fg;py;;
𥜥	;uj;pb;uj;fh;py;;
𥟘	;hw;hw;hy;xe;tj;;
𥡪	;hl;hl;hy;xi;tn;;
𥥴	;by;by;xy;et;pw;;
𥩖	;lb;lb;lb;iy;uh;;
𥫃	;lw;lw;ly;ip;uu;;
𥫜	;vx;vx;vi;rb;tq;;
𥫝	;vy;vy;vy;rp;ta;;
𥰧	;vk;vk;vy;rz;tw;;
𥱃	;vm;vz;vm;ru;tq;;
𥸊	;vy;vb;vy;rw;tu;;
𥹋	;mk;mk;mt;pd;oc;;
𥾐	;sy;yy;sy;ip;xa;;
𥿹	;sy;yd;sy;ic;xy;;
𦌩	;sy;sy;sy;yr;ld;;
𦎝	;oy;oy;on;qg;hd;;
𦓻	;lw;lw;ly;ae;di;;
𦔜	;ly;lb;ly;ah;di;;
𦘳	;ov;ov;;va;en;;
𦙨	;od;ol;od,og;vg;ex;;
𦚟	;oi;ol;oi;vq;ea;;
𦟧	;ok;ok;yk,ok;vd;ea;;
𦠉	;oy;oa;oy;vz;ef;;
𦡫	;ow;ow;oy;vp;eu;;
𦥱	;jj;jj;jj;pr;vq;;
𦨇	;vv;vv;vy;ia;te;;
𦭥	;cy;cy;ct,cy;le;at;;
𦮸	;cu;cu;cy;lo;ac;;
𦶂	;cb;cb;cy;lm;ar;;
𧃟	;cy;cb;cy;lh;an;;
𧅖	;cn;cn;cj;lx;ah;;
𧆦	;qh;qj;qh;ez;tn;;
𧈻	;iu;iy;iu;cr;jm;;
𧉅	;iy;iy;iy;ct;jv;;
𧊣	;iy;iy;iy;ct;jj;;
𧊤	;iy;id;iy;cc;jy;;
𧋏	;ij;ij;ij;cc;jm;;
𧑌	;iy;ib;iy;ch;jl;;
𧓗	;iy;ir;iy;ce;jr;;
𧔮	;qk;ei;qk;vc;mg;;
𧙡	;yy;pd;yy;tc;pu;;
𧜤	;ky;ky;yy,yu;nt;at;;
𧡇	;jn;ol;jn;es;hq;;
𧢂	;yj;ke;jy,ju,yj;ne;at;;
𧣟	;dy;dy;jt;xe;qe;;
𧣬	;dq;dq;jy,jq;xf;qe;;
𧫦	;kk;kk;yy;ns;at;;
𧬇	;yy;wa;yy;sz;yf;;
𧮒	;yy;wy;yy;sy;ya;;
𧱊	;uy;uy;uy;jr;em;;
𧱏	;xu;lu;ux,xu;nj;ue;;
𧳁	;vx;vx;vd;ml;ee;;
𧷅	;kb;kb;kg,by;mo;mc;;
𧷥	;zb;zb;bt,bu,zb;po;kh;;
𧺎	;tj;tj;zj;pk;fh;;
𧺝	;to;to;zo;po;fh;;
𧾰	;zy;tb;zy;ph;fh;;
𨋯	;iy;iy;iy;yt;lj;;
𨛯	;be;be;ye;wt;pe;;
𨜶	;be;be;ye;kt;uw;;
𨜽	;ye;pe;ye;mt;yn;;
𨠶	;yb;yb;ys;ym;sg;;
𨣠	;yg;yg;yg;yg;sg;;
𨣬	;yb;yb;yb;ym;sg;;
𨦯	;jy;jy;jy;zr;qt;;
𨳷	;mb;mb;mt;av;up;;
𨻊	;et;et;et;tg;bd;;
𨻏	;pt;pt;pt;tg;wn;;
𩂹	;yy;yy;yy;tr;ft;;
𩈭	;mq;mq;my;bf;dm;;
𩋌	;gw;gw;gy;te;af;;
𩍖	;gx;gx;gy;th;af;;
𩎭	;wy;vd;wy;gc;nh;;
𩎷	;wh;vh;wh;gc;nh;;
𩓧	;yy;bb;yy;ww;pe;;
𩔦	;yv;zb;yv;tw;wn;;
𩕲	;yy;fb;yy;lw;yt;;
𩖹	;fn;jb;fn;ov;mt;;
𩖾	;fr;je;fr;om;mt;;
𩗑	;fg;jg;fg;ou;mt;;
𩘧	;fu;jc;fu;ok;mt;;
𩚂	;ug;rv;ug;qa;wy;;
𩚇	;rc;rc;uc;ql;wy;;
𩛆	;uy;ry;ut,uy;qe;wy;;
𩛮	;us;rr;us;qj;wy;;
𩟉	;ug;rt;ux,ug;qg;wy;;
𩡣	;hw;hw;xa;xh;tj;;
𩤒	;mq;mq;my;nf;cp;;
𩥯	;km;km;my,ym,mu;nn;at;;
𩪟	;gy;gk;gy;fd;me;;
𩪣	;gx;gx;gy;fh;me;;
𩮵	;kp;kp;iy,iu;ne;at;;
𩳇	;gu;gy;gy,gu;ar;rq;;
𩴜	;gy;gb;gy;ah;rq;;
𩴮	;gg;gg;gg,gx;ag;rq;;
𩷍	;yy;ay;yy;wr;qo;;
𩷘	;yj;aj;yj;wc;qo;;
𩸨	;yy;aq;yy;wf;qo;;
𩼨	;yy;ar;yy;wt;qo;;
𩾘	;xn;xn;nw;bx;qw;;
𩾠	;jn;jn;nj,jn;vx;nw;;
𩾢	;yn;yb,yn;ny;px;aw;;
𪀓	;nx;nx;nd;xl;wv;;
𪀕	;yn;yn;ny,yn;ox;jx;;
𪁚	;wn;wn;wn,nb;gx;yp;;
𪁛	;yn;in;ny,yn;wx;tm;;
𪈨	;nn;nn;nu,nn;xx;wv;;
𪐔	;uy;hz;uy;xu;tw;;
𪐣	;hz;hz;hz;ph;lf;;
𪒕	;th;th;hy,yh;qp;la;;
𪕶	;jm;jm;uy;pa;vn;;
𪗷	;vo;vo;iv;lo;hb;;
𪘃	;vo;vo;iy;lv;hb;;
𪙴	;vw;vw;iy;lp;hb;;
飲	;uq;rr;uq;qe;wp,wy;;rp
銀	;jg;jg;jg;zi;qv;;jv
隠	;ex;ex;ej,ex;th;be;;vp
冘	;be;dv;be,dg,ng;wp;pq;;dv
陰	;ey;es;ey;tb;bw;;vr
湮	;dt;dt;dt,dy;kg;is;dt;uh;us
隱	;ex;ex;ej,ex;th;be;;vp
檃	;em;em;mx,my;te;be;;vm
烎	;kh;kh;hk;fc;ga;kh;hq
泿	;dg;dg;dg;ki;iv;;uv
霒	;yv;yv;yj;ta;ff;;hr
瘖	;bo;bo;by;ax;uu;;dl
蔭	;cy;cs;cy;lb;ab;;cd
婬	;nr;nr;nr;bg;ve;;np
闉	;mt;mt;mt,my;ag;us;;st
乑	;pd;pn;pd;tk;ti;;pd
隂	;ei;es;ei;tp;bw;;vr
凐	;dt;dt;dt;wg;us;;dh
螾	;ib;ib;iy;ch;jp;;ob
廴	;zb;vd;zb;uy;pn,zz;;vd;vd
圻	;tj;tj;tj;gt;fr;tj;tp;tp
絪	;sy;yd;sy;im;xl;;is
酳	;yo;yo;yo,yy;yv;sg;;hi
諲	;yt;wt;yt,yy;sg;ys;;ah
飮	;uq;rr;uq;qe;wy;;rp
駰	;my;md;my;nm;cl;;hs
慇	;px;px;xy;zh;rv;;px
癮	;bx;bx;bx,by;ah;ub;;dx
裀	;yy;pd;yy;tm;pu;;dk
嶾	;ux;ex;uj,ux;vh;me;;sp
滛	;df;df;df;ka;ie;;up
緸	;st;yt;st,sy;ig;xs;;ih
誾	;mk;mk;my;as;uy;;sa
侌	;jy;rs;jy;jb;wy;;rd
濦	;dx;dx;dj,dx;kh;ie;;up
囙	;kk;kk;kk;rn;ln;;sh
峾	;uy;de;uj,uy;kv;ir;;us
殥	;db;db;dy;gh;gq;;hb
犾	;qq;qq;qq;mm;qt;;ph
碒	;uj;uj;uj;mz;dq;;hj
訡	;yj;wv;yj;sa;yw;;ar
輑	;ik;ik;ij;yd;lv;;hv
陻	;et;et;et,ey;tg;bs;;vh
齦	;vg;vg;ig;li;hb,hw;;sv
垔	;xt;xt;tx,xt;vg;sf;;ht
堷	;to;to;ty;gx;fu;;td
廕	;gy;gs;gy;xb;yb;;dd
憗	;lx;lx;xw;eh;sw;;hx
洕	;do;do;do,dy;kv;iw;;up
淾	;ju;ju;ju,uj;zk;qi;;ju
湚	;do;dv;dg,do,dy;kv;it;;up
濥	;db;db;dy;kh;iq;;up
鈏	;jl;jl;jy;zg;qx;;jv
鈝	;jn;jn;jn;zq;qr;;jp
銦	;jy;jd;jy;zm;ql;;jk
韾	;yu;uo;yq,yu;gx;fn;;tl
㐺	;rr;rr;rr;jj;ww;;
㕂	;iv;iv;ij;xa;dw;;
㖗	;kv;kv;kc;da;km;;
㙬	;lt;lt;ty;eg;sw;;
㝙	;bb;bb;bb;wh;pg;;
㞤	;ur;er;ur;vj;mw;;
㡥	;jx;jx;jy;rh;mh;;
㣧	;xg;iv;xg;wa;tx;;
㥯	;vx;px;vx,xx;yh;ea;;
㥼	;xh;xh;xy;hc;ng;;
㦩	;xx;xx;xy;hh;nb;;
㧈	;fg;fg;fg;ub;rx;;
㧢	;fy;fd;fy;um;rl;;
㪦	;bw;bw;wy;wh;pg;;
㱃	;qy;rr;qy;je;wy;;
㴈	;dy;de;dy;kv;ir;;
㶏	;dx;dx;dy;kh;ib;;
㸒	;vr;pr;vr;yg;et;;
㹜	;qq;qq;qq;mm;dd;;
㹞	;qj;qj;qj;mt;qt;;
㼉	;gy;gv;gy;yp;rc;;
㾙	;bj;bj;bx;ar;uq;;
䄄	;uy;pd;uy;fm;py;;
䇙	;vl;vl;vy;rg;tx;;
䌥	;sy;yx;sy;ih;xe;;
䒡	;cl;cl;cy;lg;ax;;
䓄	;cj;cj;cy;lt;aq;;
䕃	;ca;cs;ca;lp;ab;;
䖜	;ho;ho;yo;zo;ha;;
䚿	;yq;wr;yq;se;yq;;
䡛	;ii;ii;ii;yy;ll;;
䤃	;yo;yo;yy;yx;sg;;
䤺	;jj;jj;jv;zt;qd;;
䨸	;yx;yx;yy;th;fb;;
䪩	;lv;lv;yj;xa;uj;;
噖	;kv;kv;kq;da;kg;;kw
噾	;ko;ko;ky;dx;kp;;kb
圁	;kk;kk;ky;rs;ly;;sh
垽	;dt;dt;tj,ty;kg;ir;;ut
婣	;na;nl;na;bf;vj,vt;;np
崯	;uj;ej;uj;vz;mq;;sj
憖	;lx;lx;xq;eh;sw;;hx
懚	;xx;xx;xj,xx;hh;ne;;xp
斦	;jj;jj;jj;tt;rr;;pp
朄	;uj;uj;uj;oh;jh;;lh
栶	;my;md;my;em;sl;;mk
檭	;mg;mg;my;ei;sq;;mj
檼	;mx;mx;mj,mx;eh;se;;mp
櫽	;em;em;mx,my;te;be;;vm
猌	;lq;lq;ql;em;sw;;hh
璌	;wb;wb;wy;nh;gp;;wb
癊	;by;bs;by;ab;ub;;dd
磤	;uy;uy;uy;mr;dr;;hp
秵	;hy;hd;hy;xm;tl;;es
筃	;vy;vd;vy;rm;tl;;gd
粌	;ml;ml;my;pg;ox;;dv
荶	;cv;cv;cy;la;ak;;cv
蒑	;cy;cy;cy;lr;ar;;cd
蔩	;cb;cb;cy;lh;ap;;cd
蘟	;cx;cx;cx,cy;lh;ab;;cx
訔	;uy;wk;uy;vs;my;;sa
讔	;yy;wx;yy;sh;yb;;av
赺	;tv;tv;zj;pa;fh;;tr
趛	;tj;tj;zj;pz;fh;;tj
阥	;eu;eu;eu;tk;bi;;vu
霠	;yv;yv;yj;ta;fu;;hv
靷	;gl;gl;gy;tg;af;;cv
鞇	;gy;gd;gy;tm;af;;ck
鮣	;yy;ae;yy;wz;qo;;pp
鷣	;xn;xn;nt;vx;sj;;hp
齗	;vj;vj;ij;lt;hb,hw;;sp
𠃊	;vv;vv;;ae;nn;;
𠖟	;bd;bd;bp;wp;ps;;
𠽨	;ko;ko;ky;dx;kp;;
𡇂	;kh;kh;kh;rc;lo;;
𡈲	;yy;kd;ky,yy;rm;ld;;
𡋪	;bt;lt;bt,ty;yg;hm;;
𡐔	;tb;tb;ty;gh;fp;;
𡓓	;jt;jt;tj;pg;vw;;
𡓿	;kt;kt;tl;dg;kk;;
𡖣	;dy;xa;dy;ln;qq;;
𡩘	;bo;bo;by;wx;pu;;
𡸛	;uq;er;uh,uq;ve;mw;;
𡼽	;uy;er;uy;ve;mw;;
𢂨	;pj;pj;jf,jj;tr;tm;;
𢉩	;go;go;gy;xx;yu;;
𢋻	;gw;gw;gl;xh;yw;;
𢌲	;uc;ec;uc,cu;vl;ma;;
𢓕	;xv;ik;xv;wd;th;;
𢓙	;xr;ir;xr;wj;tx;;
𢛦	;wx;wx;xx,xq,wx;nh;qr;;
𢝯	;kx;kx;xj,xy,kx;mh;my;;
𢪪	;fg;fg;fg;ua;rg;;
𢳃	;fh;fh;fy;uc;rg;;
𢷍	;fx;fx;fy,fx;uh;re;;
𣓆	;mr;mr;mj,mr;eg;se;;
𣔸	;mr;mr;mb,mr;ej;sd;;
𣦫	;ve;ve;sy;sz;hd;;
𣱐	;dt;dt;dy,ut,dt;bg;qa;;
𣱜	;qx;qx;qi;vb;rn;;
𣸊	;dy;ds;da,dy;kb;iw;;
𣽮	;dy;dk;dy;km;iv;;
𤂹	;du;du;dj,dx;kn;ia;;
𤝎	;qu;qu;qu;mk;qt;;
𤢦	;qx;qx;qy,qx;mh;qt;;
𤯸	;ul;ul;uj;ls;tg;;
𤵯	;be;bv;be;ao;ux;;
𤷏	;br;bt;bj,br;an;ue;;
𤻘	;bx;bx;by;ah;ue;;
𥖵	;ux;ux;uy,ux;mh;de;;
𥤷	;xb;bv;xy,xb;ep;pw;;
𥬜	;vb;vv;vb;rv;tq;;
𥮍	;vr;vr;vr;rn;te;;
𦜲	;oy;os;oa,oy;vb;ew;;
𦝴	;os;os;os;vp;ew;;
𦟘	;ob;ob;oy;vh;ep;;
𦾻	;cx;cx;cy,cx;lh;ae;;
𧊭	;iy;id;iy;cm;jl;;
𧥸	;yn;wn;yn;sq;yr;;
𧦸	;gk;gk;yg,gy,yk;es;fm;;
𧦹	;yb;wb;yb;sf;ys;;
𧩬	;yy;wb;yy;sw;yd;;
𨈧	;ul;ul;uy;zg;tm;;
𨋙	;iu;iu;iu;yg;lj;;
𨏈	;ix;ix;iy,ix;yh;le;;
𨐐	;lv;lv;lg;ia;uu;;
𨒦	;ze;ze;zy;bu;qg;;
𨓮	;zr;zr;zj,zr;yu;et;;
𨛊	;qe;qe;qe;mt;qt;;
𨟏	;he;he;le,ye;ct;oo;;
𨟴	;yy;ye;yy;ym;sg;;
𨡢	;yh;ry;yh;jy;wy;;
𨢂	;yy;yv;yy;yv;sg;;
𨦆	;jb;jb;jy,jb;zv;qj;;
𩂥	;yy;yd;yy;tm;fl;;
𩃬	;yv;yv;yj;ta;ff;;
𩐞	;xo;xo;yd,dy;lx;qq;;
𩖄	;iy;ib;ly,iy,yq;xw;dw;;
𩬵	;iy;ae;iy;pz;de;;
𪔰	;ug;uy;gk,gu,ug;gc;fn;;
𪔽	;ub;jv;uy,ub;pp;vn;;
𪙤	;li;lk;iy,iq,li;el;sw;;
𪙾	;vm;vm;il;la;hb;;
𪛊	;rj;rj;yj;jt;wg;;
景	;ox;ox;oj;oy;jy;ox;ld;lx
應	;gx;gx;gx,xv;xh;yw;;dx
桜	;mn;mn;mn;eb;si;ln;md
応	;gx;gx;gx;xh;yn;;dx
営	;xk;xk;dl,lb;kd;ip;;dk
灜	;dy;df;dy;ki;iy;;ud
濙	;dh;dh;dh,dy;kc;io;;uq
營	;hk;hk;hl,lb;cd;oo;;qk
霙	;yy;yy;yy;tm;fa;;hd
罃	;hf;hf;fb,hf;ca;oo;;qs
贏	;wf;wf;bk,wf;fi;yn;;dd
鶯	;hn;hn;hn,nb;cx;oo;;qd
暎	;oy;oy;oy;om;ja;;lc
鷹	;gn;gn;gn,nv;xx;yw;;dd
嫈	;hn;hn;hn,nb;cb;oo;;qn
蛍	;xi;xi;di,ib;kc;ip;;do
渶	;dy;dy;dy;km;ia;;uc
鎣	;hj;hj;hj;cz;oo;;qj
櫻	;mn;mn;my;eb;sm;;ms
煐	;hy;hy;hy;cm;oa;;qc
穎	;yh;bb;hy,yh;vw;xt;;ph
螢	;hi;hi;hi,ib;cc;oo;;qo
瀯	;dk;dk;dy;kd;io;;uq
潁	;yu;bb;uy,yu;vw;xi;;ph
禜	;hu;hx;hu,hz,ub;cf;oo;;qd
嬰	;nb;on;nb;ob;mm;;sn
籯	;vy;vf;vy;ri;ty;;gd
嚶	;kn;kn;ky;db;km;;ks
攖	;fn;fn;fy;ub;rm;;fs
桯	;mw;mw;mi;en;sk;lw;mk;mk
頴	;yu;bb;yu;vw;xf;;ph
瀴	;dn;dn;dy;kb;im;;us
攍	;fy;ff;fy;ui;ry;;fd
梬	;mk;mv;mk;ea;sm;;ms
甖	;bw;ow;bw,wb;or;mm;;sd
籝	;vy;vf;vy;ri;ty;;gd
罌	;fb;of;fb;oa;mm;;ss
蘡	;cn;cn;cy;lb;am;;cn
颕	;yu;br;yu;vw;xf;;ph
鴬	;xn;xn;dn,nb;kx;ip;;dd
鸎	;bn;on;bn,nb;ox;mm;;sd
廮	;gn;gn;gy;xb;ym;;dn
